report_date,market_name,contract_code,open_interest,dealer_long,dealer_short,asset_manager_long,asset_manager_short,leveraged_long,leveraged_short,other_long,other_short,nonreportable_long,nonreportable_short,symbol,available_at,leveraged_net,leveraged_net_pct_oi,leveraged_weekly_change,leveraged_percentile,leveraged_zscore,asset_manager_net,asset_manager_net_pct_oi,asset_manager_weekly_change,asset_manager_percentile,asset_manager_zscore,dealer_net,dealer_net_pct_oi,dealer_weekly_change,other_net,other_net_pct_oi,other_weekly_change,nonreportable_net,nonreportable_net_pct_oi,nonreportable_weekly_change,date,close,price_sma,price_momentum,price_normalized,state,extreme_direction,proxy_symbol
2010-12-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,1109473,50935,334522,426392,123035,107800,154350,18499,26850,162893,127763,ES,2010-12-17 15:30:00-05:00,-46550,-4.195685699426665,1.5877645469932862,,,303357,27.342440960708373,-2.511950494693849,,,-283587,-25.560513865592043,2.101336573354647,-8351,-0.75269970517534,0.00843355126966594,35130,3.1663681766027656,-1.1856743098066618,,,,,,NORMAL,,SPY
2010-12-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,758336,34788,304750,415424,121564,79919,137552,18754,20678,121359,85699,ES,2010-12-24 15:30:00-05:00,-57633,-7.599929318929868,-3.4042436195032026,,,293860,38.75063296480716,11.408192004098787,,,-269962,-35.599259431175625,-10.038745565583582,-1924,-0.2537133935353194,0.4989863116400206,35660,4.702401046501815,1.5360328698990493,,,,,,NORMAL,,SPY
2010-12-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,769754,36685,306509,420679,118095,79279,141342,19067,21484,119863,88143,ES,2010-12-31 15:30:00-05:00,-62063,-8.062705747550517,-0.46277642862064905,,,302584,39.30918189447538,0.5585489296682198,,,-269824,-35.05327676114707,0.5459826700285575,-2417,-0.313996419635364,-0.0602830261000446,31720,4.12079703385757,-0.5816040126442452,2011-01-01,128.67999267578125,115.25199813842774,0.1274861629064618,289.77901235925407,NORMAL,,SPY
2011-01-04,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,776403,41901,301270,414467,123586,78596,140764,19333,25766,121437,84348,ES,2011-01-07 15:30:00-05:00,-62168,-8.0071818372675,0.055523910283016065,,,290881,37.46520814576966,-1.8439737487057215,,,-259369,-33.406491216546044,1.6467855446010233,-6433,-0.8285645470200399,-0.5145681273846758,37089,4.777029455063929,0.6562324212063597,,,,,,NORMAL,,SPY
2011-01-11,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,793466,47164,308535,410307,126489,90395,145968,17662,25287,121051,80299,ES,2011-01-14 15:30:00-05:00,-55573,-7.003828771491154,1.0033530657763468,,,283818,35.76939654629184,-1.6958115994778211,,,-261371,-32.94041584642568,0.4660753701203646,-7625,-0.9609737531286785,-0.1324092061086386,40752,5.135947854098348,0.3589183990344189,,,,,,NORMAL,,SPY
2011-01-18,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,810682,54410,304634,414927,121840,84348,157129,20574,26027,124039,88666,ES,2011-01-21 15:30:00-05:00,-72781,-8.977749598486213,-1.9739208269950588,,,293087,36.153140195539066,0.38374364924722926,,,-250224,-30.865863556857065,2.074552289568615,-5453,-0.672643527301704,0.28833022582697454,35373,4.363363192965923,-0.7725846611324254,,,,,,NORMAL,,SPY
2011-01-25,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,837948,52511,306324,423778,124854,89207,163207,21054,31417,129194,89942,ES,2011-01-28 15:30:00-05:00,-74000,-8.831096917708498,0.14665268077771465,,,298924,35.67333533823101,-0.47980485730805356,,,-253813,-30.28982705370739,0.5760365031496733,-10363,-1.2367115859217994,-0.5640680586200955,39252,4.6843002191066745,0.3209370261407516,2011-02-01,133.14999389648438,116.6859977722168,0.12372348972079274,299.84516570636873,NORMAL,,SPY
2011-02-01,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,855085,51791,295218,422984,129872,87351,168582,20652,32983,128416,84540,ES,2011-02-04 15:30:00-05:00,-81231,-9.499757334066205,-0.6686604163577066,,,293112,34.278697439435845,-1.3946378987951675,,,-243427,-28.468163983697526,1.8216630700098655,-12331,-1.442078857657426,-0.20536727173562652,43876,5.131185788547337,0.4468855694406626,,,,,,NORMAL,,SPY
2011-02-08,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,878168,57603,283112,427792,122613,85680,187038,22262,31035,120110,89649,ES,2011-02-11 15:30:00-05:00,-101358,-11.54198285521677,-2.0422255211505647,,,305179,34.751778702936114,0.47308126350026924,,,-225509,-25.679482741343342,2.7886812423541834,-8773,-0.9990115786500988,0.4430672790073271,30461,3.468698472274098,-1.6624873162732392,,,,,,NORMAL,,SPY
2011-02-15,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,893447,58529,274812,428804,121034,82287,194947,24248,32649,120472,90898,ES,2011-02-18 15:30:00-05:00,-112660,-12.609589600726176,-1.0676067455094067,,,307770,34.44748261508517,-0.3042960878509433,,,-216283,-24.207703422810756,1.4717793185325867,-8401,-0.940290806281738,0.05872077236836082,29574,3.3101012147334985,-0.1585972575405994,,,,,,NORMAL,,SPY
